address,categories/0,categoryName,cid,city,countryCode,isAdvertisement,locatedIn,location/lat,location/lng,neighborhood,permanentlyClosed,phone,placeId,plusCode,postalCode,scrapedAt,searchPageUrl,searchString,state,street,subTitle,temporarilyClosed,title,totalScore,url,website
"Unit 5, Abercorn Commercial Centre, Manor Farm Rd, Wembley HA0 1AN, United Kingdom",Logistics service,Logistics service,1.20E+19,Wembley,GB,FALSE,,51.5402625,-0.3021833,"Unit 5, Abercorn Commercial Centre, Manor Farm Rd",FALSE,+44 330 335 0950,ChIJgWu2SLgTdkgRb0qUz50a0aY,"GMRX+44 Wembley, United Kingdom",HA0 1AN,2022-06-15T19:02:54.845Z,"https://www.google.com/maps/search/InPost+locker+in+london/@51.5061295,-0.2324817,12z?hl=en",,,"Unit 5, Abercorn Commercial Centre, Manor Farm Rd",,FALSE,24/7 InPost Locker - Party Wholesalers,,"https://www.google.com/maps/place/24%2F7+InPost+Locker+-+Party+Wholesalers/@51.5402625,-0.3021833,17z/data=!3m1!4b1!4m5!3m4!1s0x487613b848b66b81:0xa6d11a9dcf944a6f!8m2!3d51.5402625!4d-0.3021833?hl=en",https://www.inpost.co.uk/
"Station Ln, London RM12 6TG, United Kingdom",Shipping and mailing service,Shipping and mailing service,2.26E+18,London,GB,FALSE,,51.55365,0.21815,Station Ln,FALSE,+44 330 335 0950,ChIJkyKjX4q72EcRH4HLlNzVVB8,"H639+F7 Hornchurch, United Kingdom",RM12 6TG,2022-06-15T19:03:08.421Z,"https://www.google.com/maps/search/InPost+locker+in+london/@51.5061295,-0.2324817,12z?hl=en",,,Station Ln,,FALSE,InPost Locker - Hornchurch Station,,"https://www.google.com/maps/place/InPost+Locker+-+Hornchurch+Station/@51.55365,0.21815,17z/data=!3m1!4b1!4m5!3m4!1s0x47d8bb8a5fa32293:0x1f54d5dc94cb811f!8m2!3d51.55365!4d0.21815?hl=en",https://www.inpost.co.uk/
"Station Rd, Esher KT10 9AL, United Kingdom",Logistics service,Logistics service,1.80E+19,Esher,GB,FALSE,,51.3799447,-0.3528893,Station Rd,FALSE,+44 330 335 0950,ChIJf_iBgQALdkgRxw4amISVSfo,"9JHW+XR Esher, United Kingdom",KT10 9AL,2022-06-15T19:03:21.405Z,"https://www.google.com/maps/search/InPost+locker+in+london/@51.5061295,-0.2324817,12z?hl=en",,,Station Rd,,FALSE,24/7 InPost Locker - Esher Station,,"https://www.google.com/maps/place/24%2F7+InPost+Locker+-+Esher+Station/@51.3799447,-0.3528893,17z/data=!3m1!4b1!4m5!3m4!1s0x48760b008181f87f:0xfa499584981a0ec7!8m2!3d51.3799146!4d-0.3528848?hl=en",https://www.inpost.co.uk/
"Hanworth Rd, Feltham TW13 5AX, United Kingdom",Logistics service,Logistics service,6.12E+18,Feltham,GB,FALSE,,51.44605,-0.40086,Hanworth Rd,FALSE,+44 330 335 0950,ChIJ0TVXWClzdkgRLtudBBx-61Q,"CHWX+CM Feltham, United Kingdom",TW13 5AX,2022-06-15T19:03:33.756Z,"https://www.google.com/maps/search/InPost+locker+in+london/@51.5061295,-0.2324817,12z?hl=en",,,Hanworth Rd,,FALSE,24/7 InPost Locker - Airman Pub,,"https://www.google.com/maps/place/24%2F7+InPost+Locker+-+Airman+Pub/@51.44605,-0.40086,17z/data=!3m1!4b1!4m5!3m4!1s0x48767329585735d1:0x54eb7e1c049ddb2e!8m2!3d51.44605!4d-0.40086?hl=en",https://www.inpost.co.uk/
"702-712 Mitcham Rd, Croydon CR0 3AB, United Kingdom",Logistics service,Logistics service,5.53E+18,Croydon,GB,FALSE,bp,51.3908515,-0.1334966,702-712 Mitcham Rd,FALSE,+44 330 335 0950,ChIJDV7ey1UHdkgRI2HglyQawEw,"9VR8+8J Croydon, United Kingdom",CR0 3AB,2022-06-15T19:03:46.929Z,"https://www.google.com/maps/search/InPost+locker+in+london/@51.5061295,-0.2324817,12z?hl=en",,,702-712 Mitcham Rd,,FALSE,24/7 InPost Locker - BP Fernside,,"https://www.google.com/maps/place/24%2F7+InPost+Locker+-+BP+Fernside/@51.3908515,-0.1334966,17z/data=!3m1!4b1!4m5!3m4!1s0x48760755cbde5e0d:0x4cc01a2497e06123!8m2!3d51.3908918!4d-0.1334537?hl=en",https://www.inpost.co.uk/
"113 Boston Rd, Croydon CR0 3EH, United Kingdom",Logistics service,Logistics service,1.91E+16,Croydon,GB,FALSE,,51.3878,-0.11967,113 Boston Rd,FALSE,+44 330 335 0950,ChIJccDyePQHdkgRvgdNLLrLQwA,"9VQJ+44 Croydon, United Kingdom",CR0 3EH,2022-06-15T19:03:59.429Z,"https://www.google.com/maps/search/InPost+locker+in+london/@51.5061295,-0.2324817,12z?hl=en",,,113 Boston Rd,,FALSE,24/7 InPost Locker - KSJ Food and Wine,1,"https://www.google.com/maps/place/24%2F7+InPost+Locker+-+KSJ+Food+and+Wine/@51.3878,-0.11967,17z/data=!3m1!4b1!4m5!3m4!1s0x487607f478f2c071:0x43cbba2c4d07be!8m2!3d51.3878!4d-0.11967?hl=en",https://www.inpost.co.uk/
"52 Central Rd, Morden SM4 5RP, United Kingdom",Logistics service,Logistics service,1.55E+19,Morden,GB,FALSE,,51.3973942,-0.1898093,52 Central Rd,FALSE,+44 330 335 0950,ChIJ7dwF1xMJdkgRptb6qo4fUdc,"9RW6+X3 Morden, United Kingdom",SM4 5RP,2022-06-15T19:04:12.820Z,"https://www.google.com/maps/search/InPost+locker+in+london/@51.5061295,-0.2324817,12z?hl=en",,,52 Central Rd,,FALSE,24/7 InPost Locker - Choice & Select Convenience,,"https://www.google.com/maps/place/24%2F7+InPost+Locker+-+Choice+%26+Select+Convenience/@51.3973942,-0.1898093,17z/data=!3m1!4b1!4m5!3m4!1s0x48760913d705dced:0xd7511f8eaafad6a6!8m2!3d51.3973944!4d-0.1898146?hl=en",https://www.inpost.co.uk/
"10 Bobby Moore Way, London N10 1ST, United Kingdom",Logistics service,Logistics service,2.76E+18,London,GB,FALSE,,51.60601,-0.15151,10 Bobby Moore Way,FALSE,+44 330 335 0950,ChIJMyU9JUgZdkgRJR4DXwSdTyY,"JR4X+C9 London, United Kingdom",N10 1ST,2022-06-15T19:04:25.177Z,"https://www.google.com/maps/search/InPost+locker+in+london/@51.5061295,-0.2324817,12z?hl=en",,,10 Bobby Moore Way,,FALSE,24/7 InPost Locker - Powerleague Barnet,,"https://www.google.com/maps/place/24%2F7+InPost+Locker+-+Powerleague+Barnet/@51.60601,-0.15151,17z/data=!3m1!4b1!4m5!3m4!1s0x48761948253d2533:0x264f9d045f031e25!8m2!3d51.60601!4d-0.15151?hl=en",https://www.inpost.co.uk/
"2 Garnett Way, London E17 5PE, United Kingdom",Logistics service,Logistics service,1.06E+19,London,GB,FALSE,,51.5994299,-0.0351061,2 Garnett Way,FALSE,+44 330 335 0950,ChIJAa4d_EYfdkgRhLtMhRRMw5M,"HXX7+QX London, United Kingdom",E17 5PE,2022-06-15T19:04:38.995Z,"https://www.google.com/maps/search/InPost+locker+in+london/@51.5061295,-0.2324817,12z?hl=en",,,2 Garnett Way,,FALSE,24/7 InPost Locker - FoneFix Walthamstow,,"https://www.google.com/maps/place/24%2F7+InPost+Locker+-+FoneFix+Walthamstow/@51.5994299,-0.0351061,17z/data=!3m1!4b1!4m5!3m4!1s0x48761f46fc1dae01:0x93c34c14854cbb84!8m2!3d51.5994299!4d-0.0351061?hl=en",https://www.inpost.co.uk/
"Burnt Ash Rd, London SE12 0AD, United Kingdom",Logistics service,Logistics service,4.27E+18,London,GB,FALSE,,51.4496791,0.01381,Burnt Ash Rd,FALSE,+44 330 335 0950,ChIJRyJOYPGp2EcRB_sFgOalTDs,"C2X7+VG London, United Kingdom",SE12 0AD,2022-06-15T19:04:51.475Z,"https://www.google.com/maps/search/InPost+locker+in+london/@51.5061295,-0.2324817,12z?hl=en",,,Burnt Ash Rd,,FALSE,24/7 InPost Locker - Lee Station,,"https://www.google.com/maps/place/24%2F7+InPost+Locker+-+Lee+Station/@51.4496791,0.01381,17z/data=!3m1!4b1!4m5!3m4!1s0x47d8a9f1604e2247:0x3b4ca5e68005fb07!8m2!3d51.4496757!4d0.013845?hl=en",https://www.inpost.co.uk/
"Creek Rd, London SE8 3BU, United Kingdom",Logistics service,Logistics service,4.77E+18,London,GB,FALSE,,51.48167,-0.01823,Creek Rd,FALSE,+44 330 335 0950,ChIJBYQBA9gDdkgRM3m7E_qzMEI,"FXJJ+MP London, United Kingdom",SE8 3BU,2022-06-15T19:05:03.633Z,"https://www.google.com/maps/search/InPost+locker+in+london/@51.5061295,-0.2324817,12z?hl=en",,,Creek Rd,,FALSE,24/7 InPost Locker - Texaco Petrol Station,,"https://www.google.com/maps/place/24%2F7+InPost+Locker+-+Texaco+Petrol+Station/@51.48167,-0.01823,17z/data=!3m1!4b1!4m5!3m4!1s0x487603d803018405:0x4230b3fa13bb7933!8m2!3d51.48167!4d-0.01823?hl=en",https://www.inpost.co.uk/
"44A Fairfield Rd, Bow, London E3 2QB, United Kingdom",Logistics service,Logistics service,1.49E+19,London,GB,FALSE,,51.5296403,-0.0205165,44A Fairfield Rd,FALSE,+44 330 335 0950,ChIJ45qLIm0ddkgRTidKlJZX484,"GXHH+VQ London, United Kingdom",E3 2QB,2022-06-15T19:05:16.306Z,"https://www.google.com/maps/search/InPost+locker+in+london/@51.5061295,-0.2324817,12z?hl=en",,,44A Fairfield Rd,,FALSE,24/7 InPost Locker - Fairfield Express,,"https://www.google.com/maps/place/24%2F7+InPost+Locker+-+Fairfield+Express/@51.5296403,-0.0205165,17z/data=!3m1!4b1!4m5!3m4!1s0x48761d6d228b9ae3:0xcee35796944a274e!8m2!3d51.5296331!4d-0.0205327?hl=en",https://www.inpost.co.uk/
"Sydenham Rd, London SE26 5RP, United Kingdom",Logistics service,Logistics service,1.42E+19,London,GB,FALSE,,51.4256928,-0.0431432,Sydenham Rd,FALSE,+44 330 335 0950,ChIJ73rCTQcBdkgRAAFQJp5Sl8Q,"CXG4+7P London, United Kingdom",SE26 5RP,2022-06-15T19:05:29.862Z,"https://www.google.com/maps/search/InPost+locker+in+london/@51.5061295,-0.2324817,12z?hl=en",,,Sydenham Rd,,FALSE,24/7 InPost Locker - Helin Supermarket,,"https://www.google.com/maps/place/24%2F7+InPost+Locker+-+Helin+Supermarket/@51.4256928,-0.0431432,17z/data=!3m1!4b1!4m5!3m4!1s0x487601074dc27aef:0xc497529e26500100!8m2!3d51.4256966!4d-0.0431223?hl=en",https://www.inpost.co.uk/
"44 Tamworth Ln, Mitcham CR4 1DA, United Kingdom",Logistics service,Logistics service,4.04E+18,Mitcham,GB,FALSE,,51.4062261,-0.1534416,44 Tamworth Ln,FALSE,+44 330 335 0950,ChIJpXGWY70HdkgRkh4QG2VtHTg,"CR4W+FJ Mitcham, United Kingdom",CR4 1DA,2022-06-15T19:05:37.307Z,"https://www.google.com/maps/search/InPost+locker+in+london/@51.5061295,-0.2324817,12z?hl=en",,,44 Tamworth Ln,,FALSE,24/7 InPost Locker - Tamworth Newsagents,,"https://www.google.com/maps/place/24%2F7+InPost+Locker+-+Tamworth+Newsagents/@51.4062261,-0.1534416,17z/data=!3m1!4b1!4m5!3m4!1s0x487607bd639671a5:0x381d6d651b101e92!8m2!3d51.406241!4d-0.1534114?hl=en",https://www.inpost.co.uk/
"London SE12 0AD, United Kingdom",Package locker,Package locker,1.33E+19,London,GB,FALSE,,51.4495618,0.013858,,FALSE,,ChIJxetuQjap2EcROw_zazTO67c,"C2X7+RG London, United Kingdom",SE12 0AD,2022-06-15T19:05:44.273Z,"https://www.google.com/maps/search/InPost+locker+in+london/@51.5061295,-0.2324817,12z?hl=en",,,,,FALSE,Inpost locker,,"https://www.google.com/maps/place/Inpost+locker/@51.4495618,0.013858,17z/data=!3m1!4b1!4m5!3m4!1s0x47d8a936426eebc5:0xb7ebce346bf30f3b!8m2!3d51.4495618!4d0.013858?hl=en",http://inpost.co.uk/
"102 Longbridge Rd, London IG11 8SF, United Kingdom",Shipping and mailing service,Shipping and mailing service,1.66E+19,London,GB,FALSE,,51.54176,0.08509,102 Longbridge Rd,FALSE,+44 330 335 0950,ChIJlfEnVeyn2EcR8kfgoIV04-U,"G3RP+P2 Barking, United Kingdom",IG11 8SF,2022-06-15T19:05:53.028Z,"https://www.google.com/maps/search/InPost+locker+in+london/@51.5061295,-0.2324817,12z?hl=en",,,102 Longbridge Rd,,FALSE,InPost Locker - Great Commission Church London,,"https://www.google.com/maps/place/InPost+Locker+-+Great+Commission+Church+London/@51.54176,0.08509,17z/data=!3m1!4b1!4m5!3m4!1s0x47d8a7ec5527f195:0xe5e37485a0e047f2!8m2!3d51.54176!4d0.08509?hl=en",https://www.inpost.co.uk/
"1 Station Parade, London E5 8BD, United Kingdom",Logistics service,Logistics service,1.57E+19,London,GB,FALSE,,51.5605021,-0.0565061,1 Station Parade,FALSE,+44 330 335 0950,ChIJ0cHgA8sddkgRlhEBVrc_f9k,"HW6V+69 London, United Kingdom",E5 8BD,2022-06-15T19:06:06.526Z,"https://www.google.com/maps/search/InPost+locker+in+london/@51.5061295,-0.2324817,12z?hl=en",,,1 Station Parade,,FALSE,24/7 InPost Locker - Clapton Hackney Ophthalmic Opticians,,"https://www.google.com/maps/place/24%2F7+InPost+Locker+-+Clapton+Hackney+Ophthalmic+Opticians/@51.5605021,-0.0565061,17z/data=!3m1!4b1!4m5!3m4!1s0x48761dcb03e0c1d1:0xd97f3fb756011196!8m2!3d51.5605077!4d-0.0564764?hl=en",https://www.inpost.co.uk/
"Ruxley Ln, London KT19 9EY, United Kingdom",Shipping and mailing service,Shipping and mailing service,5.93E+18,London,GB,FALSE,,51.36063,-0.28109,Ruxley Ln,FALSE,+44 330 335 0950,ChIJCbnJAR0LdkgR54OmdJjdV1I,"9P69+7H Epsom, United Kingdom",KT19 9EY,2022-06-15T19:06:19.229Z,"https://www.google.com/maps/search/InPost+locker+in+london/@51.5061295,-0.2324817,12z?hl=en",,,Ruxley Ln,,FALSE,InPost Locker - Texaco Ruxley Lane,,"https://www.google.com/maps/place/InPost+Locker+-+Texaco+Ruxley+Lane/@51.36063,-0.28109,17z/data=!3m1!4b1!4m5!3m4!1s0x48760b1d01c9b909:0x5257dd9874a683e7!8m2!3d51.36063!4d-0.28109?hl=en",https://www.inpost.co.uk/
"13 - 19 E Dulwich Rd, London SE22 9BD, United Kingdom",Shipping and mailing service,Shipping and mailing service,1.06E+19,London,GB,FALSE,,51.46189,-0.06854,13 - 19 E Dulwich Rd,FALSE,+44 330 335 0950,ChIJX8omXz8DdkgRhlhcul0vfpM,"FW6J+QH London, United Kingdom",SE22 9BD,2022-06-15T19:06:32.249Z,"https://www.google.com/maps/search/InPost+locker+in+london/@51.5061295,-0.2324817,12z?hl=en",,,13 - 19 E Dulwich Rd,,FALSE,InPost Locker - Esso East Dulwich Road,,"https://www.google.com/maps/place/InPost+Locker+-+Esso+East+Dulwich+Road/@51.46189,-0.06854,17z/data=!3m1!4b1!4m5!3m4!1s0x4876033f5f26ca5f:0x937e2f5dba5c5886!8m2!3d51.46189!4d-0.06854?hl=en",https://www.inpost.co.uk/
"Caplan Court, Richmond TW10 6SN, United Kingdom",Logistics service,Logistics service,1.51E+19,Richmond,GB,FALSE,Floor 0 · Cambrian Centre,51.4538028,-0.29369,Caplan Court,FALSE,+44 330 335 0950,ChIJlzahbS0NdkgRQESEdpZJNNI,"FP34+GG Richmond, United Kingdom",TW10 6SN,2022-06-15T19:06:37.113Z,"https://www.google.com/maps/search/InPost+locker+in+london/@51.5061295,-0.2324817,12z?hl=en",,,Caplan Court,,FALSE,24/7 InPost Locker - Cambrian Community Centre,,"https://www.google.com/maps/place/24%2F7+InPost+Locker+-+Cambrian+Community+Centre/@51.4538028,-0.29369,17z/data=!3m1!4b1!4m5!3m4!1s0x48760d2d6da13697:0xd234499676844440!8m2!3d51.4538028!4d-0.29369?hl=en",https://www.inpost.co.uk/
"403-405 Twickenham Rd, Twickenham, Isleworth TW7 7ES, United Kingdom",Logistics service,Logistics service,3.02E+18,Isleworth,GB,FALSE,,51.4635662,-0.3338109,403-405 Twickenham Rd,FALSE,+44 330 335 0950,ChIJ4Y1NlmMNdkgR6hExfCXY6Sk,"FM78+CF Isleworth, United Kingdom",TW7 7ES,2022-06-15T19:06:49.299Z,"https://www.google.com/maps/search/InPost+locker+in+london/@51.5061295,-0.2324817,12z?hl=en",,,403-405 Twickenham Rd,,FALSE,24/7 InPost Locker - Shell Isleworth,,"https://www.google.com/maps/place/24%2F7+InPost+Locker+-+Shell+Isleworth/@51.4635662,-0.3338109,17z/data=!3m1!4b1!4m5!3m4!1s0x48760d63964d8de1:0x29e9d8257c3111ea!8m2!3d51.4635676!4d-0.3337449?hl=en",https://www.inpost.co.uk/
"131 Beaconsfield Rd, London SE17 2BX, United Kingdom",Logistics service,Logistics service,6.21E+18,London,GB,FALSE,,51.4864749,-0.0844466,131 Beaconsfield Rd,FALSE,+44 330 335 0950,ChIJyX2ZbYUDdkgR4iyc_ycvH1Y,"FWP8+H6 London, United Kingdom",SE17 2BX,2022-06-15T19:07:03.771Z,"https://www.google.com/maps/search/InPost+locker+in+london/@51.5061295,-0.2324817,12z?hl=en",,,131 Beaconsfield Rd,,FALSE,24/7 InPost Locker - Hour Glas Hotel,,"https://www.google.com/maps/place/24%2F7+InPost+Locker+-+Hour+Glas+Hotel/@51.4864749,-0.0844466,17z/data=!3m1!4b1!4m5!3m4!1s0x487603856d997dc9:0x561f2f27ff9c2ce2!8m2!3d51.4863793!4d-0.0843299?hl=en",https://www.inpost.co.uk/
"Wiltshire Rd, London, Thornton Heath CR7 7QN, United Kingdom",Shipping and mailing service,Shipping and mailing service,5.49E+18,Thornton Heath,GB,FALSE,,51.40116,-0.11342,Wiltshire Rd,FALSE,+44 330 335 0950,ChIJ6cG31c0HdkgRwTigCepTMEw,"CV2P+FJ Thornton Heath, United Kingdom",CR7 7QN,2022-06-15T19:07:06.469Z,"https://www.google.com/maps/search/InPost+locker+in+london/@51.5061295,-0.2324817,12z?hl=en",,,Wiltshire Rd,,FALSE,InPost Locker - K Corner Shop,,"https://www.google.com/maps/place/InPost+Locker+-+K+Corner+Shop/@51.40116,-0.11342,17z/data=!3m1!4b1!4m5!3m4!1s0x487607cdd5b7c1e9:0x4c3053ea09a038c1!8m2!3d51.40116!4d-0.11342?hl=en",https://www.inpost.co.uk/
"1 Sury Basin, London KT2 5NZ, United Kingdom",Logistics service,Logistics service,1.12E+19,London,GB,FALSE,Floor 0 · Sainsbury's,51.4158,-0.3026,1 Sury Basin,FALSE,+44 330 335 0950,ChIJrW767IwLdkgRA6ipVIp0kZs,"CM8W+8X Kingston upon Thames, United Kingdom",KT2 5NZ,2022-06-15T19:07:20.045Z,"https://www.google.com/maps/search/InPost+locker+in+london/@51.5061295,-0.2324817,12z?hl=en",,,1 Sury Basin,,FALSE,24/7 InPost Locker - SAINSBURY'S Sury Basin,,"https://www.google.com/maps/place/24%2F7+InPost+Locker+-+SAINSBURY'S+Sury+Basin/@51.4158,-0.3026,17z/data=!3m1!4b1!4m5!3m4!1s0x48760b8cecfa6ead:0x9b91748a54a9a803!8m2!3d51.4158!4d-0.3026?hl=en",https://www.inpost.co.uk/
